ne,fa,r,s,Fertilizer
Total,MAP,0.1,0.14,CF
Ba,MAP,-0.18,0.018,CF
Fu,MAP,0.26,0.00079,CF
OP,MAP,-0.2,0.0085,CF
PP,MAP,0.34,0.0000029,CF
H,MAP,0.018,0.87,CF
MI,MAP,-0.18,0.053,CF
SI,MAP,-0.18,0.15,CF
EI,MAP,-0.076,0.53,CF
CI,MAP,0.22,0.13,CF
PPI,MAP,0.054,0.71,CF
Total,MAT,-0.14,0.058,CF
Ba,MAT,-0.19,0.012,CF
Fu,MAT,0.13,0.091,CF
OP,MAT,0.12,0.12,CF
PP,MAT,-0.097,0.2,CF
H,MAT,0.22,0.044,CF
MI,MAT,-0.11,0.24,CF
SI,MAT,0.17,0.16,CF
EI,MAT,-0.44,0.00011,CF
CI,MAT,0.28,0.048,CF
PPI,MAT,-0.34,0.016,CF
Total,Latitude,0.093,0.19,CF
Ba,Latitude,0.26,0.00076,CF
Fu,Latitude,-0.22,0.0052,CF
OP,Latitude,-0.14,0.064,CF
PP,Latitude,-0.022,0.77,CF
H,Latitude,-0.07,0.53,CF
MI,Latitude,0.2,0.036,CF
SI,Latitude,-0.075,0.54,CF
EI,Latitude,0.22,0.06,CF
CI,Latitude,-0.3,0.035,CF
PPI,Latitude,0.25,0.086,CF
Total,Longitude,0.084,0.24,CF
Ba,Longitude,-0.017,0.83,CF
Fu,Longitude,0.27,0.00049,CF
OP,Longitude,-0.14,0.07,CF
PP,Longitude,0.13,0.087,CF
H,Longitude,0.14,0.21,CF
MI,Longitude,-0.29,0.0017,CF
SI,Longitude,-0.37,0.002,CF
EI,Longitude,0.15,0.2,CF
CI,Longitude,-0.14,0.34,CF
PPI,Longitude,-0.23,0.11,CF
Total,N,-0.034,0.68,CF
Ba,N,0.13,0.14,CF
Fu,N,-0.043,0.64,CF
OP,N,-0.015,0.87,CF
PP,N,-0.19,0.028,CF
H,N,-0.16,0.21,CF
MI,N,-0.24,0.044,CF
SI,N,0.077,0.58,CF
EI,N,0.14,0.29,CF
CI,N,0.056,0.75,CF
PPI,N,0.028,0.87,CF
Total,P,-0.09,0.44,CF
Ba,P,0.1,0.41,CF
Fu,P,-0.22,0.063,CF
OP,P,-0.085,0.49,CF
PP,P,-0.12,0.31,CF
H,P,-0.42,0.038,CF
MI,P,0.018,0.91,CF
SI,P,-0.18,0.45,CF
