ID,Study,ref,Pulish,Author,Country,condition,Climatetype,Year,Duration,La,LA,Long,MAP,MAT,Biome,ecosystem,Fertilizer,Treat,n,area1,pH1,TC1,TN1,C,N,P,K,pH,cpH,moisture,SOM,TOC,tTOC,TN,tTN,CN,NH4,NO3,AP,AK,Total,Totalsd,PP,PPsd,Ba,Basd,Fu,Fusd,Om,Omsd,H,Hsd,MI,MIsd,EI,EIsd,SI,SIsd,CI,CIsd,PPI,PPIsd,SP,SPsd,Total1,Totalsd1,PP1,PPsd1,Ba1,Basd1,Fu1,Fusd1,Om1,Omsd1,H1,Hsd1,MI1,MIsd1,EI1,EIsd1,SI1,SIsd1,CI1,CIsd1,PPI1,PPIsd1,SP1,SPsd1,RRTotal,RRPP,RRBa,RRFu,RROm,RRH,RRMI,RREI,RRSI,RRCI,RRPPI,RRSP
1,1,a1,1990,B. Sohlenius,Sweden,E,atemp,16,Long,57.633,57.633,18.3,116.65,8.82,cropland,A,IF,IFA,4,a,6.3,22,2.3,NA,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.3,NA,NA,NA,NA,NA,655.9,22.22102745,214,20.29570069,306,23.80667836,106,6.628573998,29.9,2.067526549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,566.6,19.19566116,101,9.578812009,224,17.42711096,198,12.38167596,43.6,3.014854767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.146354751,0.750855498,0.31193905,-0.624827937,-0.37719867,NA,NA,NA,NA,NA,NA,NA
3,1,a3,1996,T.C. Todd,USA,N,atemp,9,Long,39.116,39.116,-94.633,630,12,grassland,S,IF,IFS,4,d,6.1,19.2,1.64,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.64,NA,NA,NA,NA,NA,4188,141.8839197,1453,137.8021173,1328,103.3178721,1004,62.78385183,403,27.86666218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3472,117.6267835,1001,94.93456258,1012,78.73319772,1001,62.59625068,458,31.66980466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.187492496,0.372630884,0.27174548,0.002992521,-0.127932622,NA,NA,NA,NA,NA,NA,NA
3,2,a3,1996,T.C. Todd,USA,N,atemp,9,Long,39.116,39.116,-94.633,630,12,grassland,S,IF,IFS,4,d,6.1,19.2,1.64,NA,0,10,0,NA,NA,NA,NA,NA,NA,NA,-1.64,NA,NA,NA,NA,NA,3862,130.8394694,1204,114.1870263,1198,93.20392379,1038,64.90999821,422,29.18047504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3764,127.5193586,1249,118.4548139,1141,88.76934644,968,60.53263802,406,28.07410632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.025702962,-0.036693884,0.048748429,0.069818976,0.038652154,NA,NA,NA,NA,NA,NA,NA
4,1,a4,1996,H. Ferris,USA,N,atemp,9,Long,34.15,34.15,-118.75,21.97,15.08,cropland,A,OF,OFA,1,a,NA,NA,NA,NA,232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.8,NA,NA,NA,NA,5800,196.4963549,1100,104.3236951,3410,265.2966445,1100,68.78708866,190,13.13812857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,220,18.92706764,6000,203.2720913,2400,227.6153349,2070,161.0451772,1350,84.4205179,180,12.44664812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,20.26725781,-0.033901552,-0.780158558,0.499163684,-0.204794413,0.054067221,NA,NA,NA,NA,NA,NA,0.200670695
5,1,a5,1996,Mohammad Akhtar,India ,Af,tropical ,3,bMiddle,27.883,27.883,78.08,32,26.46,cropland,A,IF,IFA,5,a,8.3,10,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,914,30.96511524,228,21.62345681,NA,NA,NA,NA,192,13.27642466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,127.4,10.96049281,1699,57.55988052,1292,122.5329219,NA,NA,NA,NA,55,3.803142481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.2,8.016826421,-0.61996455,-1.734601055,NA,NA,1.250162187,NA,NA,NA,NA,NA,NA,0.581838925
5,2,a5,1996,Mohammad Akhtar,India ,Af,tropical ,3,bMiddle,27.883,27.883,78.08,32,26.46,cropland,A,IF,IFA,5,a,8.3,10,NA,NA,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1035,35.06443575,188,17.8298679,NA,NA,NA,NA,268,18.53167609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182.3,15.6836565,1699,57.55988052,1292,122.5329219,NA,NA,NA,NA,55,3.803142481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.2,8.016826421,-0.495638416,-1.927504722,NA,NA,1.583653795,NA,NA,NA,NA,NA,NA,0.940160863
5,3,a5,1996,Mohammad Akhtar,India ,Af,tropical ,3,bMiddle,27.883,27.883,78.08,32,26.46,cropland,A,IF,IFA,5,a,8.3,10,NA,NA,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1145,38.79109076,124,11.76012563,NA,NA,NA,NA,348,24.0635197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,225.8,19.42605397,1699,57.55988052,1292,122.5329219,NA,NA,NA,NA,55,3.803142481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.2,8.016826421,-0.394635206,-2.343665119,NA,NA,1.844869295,NA,NA,NA,NA,NA,NA,1.154156833
5,4,a5,1996,Mohammad Akhtar,India ,Af,tropical ,3,bMiddle,27.883,27.883,78.08,32,26.46,cropland,A,IF,IFA,5,a,8.3,10,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1306,44.24555854,771,73.12142633,NA,NA,NA,NA,124,8.574357594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142.1,12.22516505,1699,57.55988052,1292,122.5329219,NA,NA,NA,NA,55,3.803142481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.2,8.016826421,-0.263070812,-0.516258311,NA,NA,0.81294838,NA,NA,NA,NA,NA,NA,0.691038217
5,5,a5,1996,Mohammad Akhtar,India ,Af,tropical ,3,bMiddle,27.883,27.883,78.08,32,26.46,cropland,A,IF,IFA,5,a,8.3,10,NA,NA,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,847,28.69524356,186,17.64018845,NA,NA,NA,NA,179,12.37750008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,198.3,17.06017051,1699,57.55988052,1292,122.5329219,NA,NA,NA,NA,55,3.803142481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.2,8.016826421,-0.696094427,-1.938200011,NA,NA,1.180052621,NA,NA,NA,NA,NA,NA,1.024288217
5,6,a5,1996,Mohammad Akhtar,India ,Af,tropical ,3,bMiddle,27.883,27.883,78.08,32,26.46,cropland,A,IF,IFA,5,a,8.3,10,NA,NA,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,961,32.55741329,120,11.38076674,NA,NA,NA,NA,271,18.73912023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,240.4,20.682123,1699,57.55988052,1292,122.5329219,NA,NA,NA,NA,55,3.803142481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.2,8.016826421,-0.569820713,-2.376454942,NA,NA,1.594785636,NA,NA,NA,NA,NA,NA,1.216811384
